season,week,game_id,game_date,home_team,away_team,home_points_for,away_points_for,point_diff,winner,home_prior_pa_avg_3,home_prior_pa_avg_5,home_prior_pf_avg_3,home_prior_pf_avg_5,home_prior_win_pct_3,home_prior_win_pct_5,away_prior_pa_avg_3,away_prior_pa_avg_5,away_prior_pf_avg_3,away_prior_pf_avg_5,away_prior_win_pct_3,away_prior_win_pct_5
2014,1,2014_01_GB_SEA,2014-09-04,SEA,GB,36.0,16.0,20.0,SEA,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_OAK_NYJ,2014-09-07,NYJ,LV,19.0,14.0,5.0,NYJ,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_MIN_STL,2014-09-07,LAR,MIN,6.0,34.0,-28.0,MIN,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_CLE_PIT,2014-09-07,PIT,CLE,30.0,27.0,3.0,PIT,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_IND_DEN,2014-09-07,DEN,IND,31.0,24.0,7.0,DEN,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_JAX_PHI,2014-09-07,PHI,JAX,34.0,17.0,17.0,PHI,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_WAS_HOU,2014-09-07,HOU,WAS,17.0,6.0,11.0,HOU,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_CAR_TB,2014-09-07,TB,CAR,14.0,20.0,-6.0,CAR,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_NO_ATL,2014-09-07,ATL,NO,37.0,34.0,3.0,ATL,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_SF_DAL,2014-09-07,DAL,SF,17.0,28.0,-11.0,SF,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_TEN_KC,2014-09-07,KC,TEN,10.0,26.0,-16.0,TEN,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_BUF_CHI,2014-09-07,CHI,BUF,20.0,23.0,-3.0,BUF,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_NE_MIA,2014-09-07,MIA,NE,33.0,20.0,13.0,MIA,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_CIN_BAL,2014-09-07,BAL,CIN,16.0,23.0,-7.0,CIN,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_NYG_DET,2014-09-08,DET,NYG,35.0,14.0,21.0,DET,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,1,2014_01_SD_ARI,2014-09-08,ARI,LAC,18.0,17.0,1.0,ARI,22.861581920903955,22.8655588789188,22.68356042982165,22.74602304198516,0.4935194416749751,0.4964827739005207,22.69026254569625,22.67382851445663,22.918134485432592,22.848116760828628,0.5047080979284368,0.5019884790074222
2014,2,2014_02_PIT_BAL,2014-09-11,BAL,PIT,26.0,6.0,20.0,BAL,23.0,23.0,16.0,16.0,0.0,0.0,27.0,27.0,30.0,30.0,1.0,1.0
2014,2,2014_02_DET_CAR,2014-09-14,CAR,DET,24.0,7.0,17.0,CAR,14.0,14.0,20.0,20.0,1.0,1.0,14.0,14.0,35.0,35.0,1.0,1.0
