season,season_type,game_type,week,espn_week,game_id,espn_game_id,gameday,game_date,gametime,kickoff,kickoff_utc,home_team,away_team,home_team_name,away_team_name,home_score,away_score,completed,status,status_detail,neutral_site,venue,roof,surface,spread_line,total_line,home_moneyline,away_moneyline,source,ingested_at
2025,2,REG,1,1,2025_01_DAL_PHI,401772510,2025-09-05,2025-09-05,00:20Z,2025-09-05T00:20:00Z,2025-09-05T00:20:00Z,PHI,DAL,Philadelphia Eagles,Dallas Cowboys,24,20,True,STATUS_FINAL,Final,False,Lincoln Financial Field,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_KC_LAC,401772714,2025-09-06,2025-09-06,00:00Z,2025-09-06T00:00:00Z,2025-09-06T00:00:00Z,LAC,KC,Los Angeles Chargers,Kansas City Chiefs,27,21,True,STATUS_FINAL,Final,True,Corinthians Arena,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_ARI_NO,401772718,2025-09-07,2025-09-07,17:00Z,2025-09-07T17:00:00Z,2025-09-07T17:00:00Z,NO,ARI,New Orleans Saints,Arizona Cardinals,13,20,True,STATUS_FINAL,Final,False,Caesars Superdome,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_CAR_JAX,401772828,2025-09-07,2025-09-07,17:00Z,2025-09-07T17:00:00Z,2025-09-07T17:00:00Z,JAX,CAR,Jacksonville Jaguars,Carolina Panthers,26,10,True,STATUS_FINAL,Final,False,EverBank Stadium,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.868771+00:00
2025,2,REG,1,1,2025_01_CIN_CLE,401772829,2025-09-07,2025-09-07,17:00Z,2025-09-07T17:00:00Z,2025-09-07T17:00:00Z,CLE,CIN,Cleveland Browns,Cincinnati Bengals,16,17,True,STATUS_FINAL,Final,False,Huntington Bank Field,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_LV_NE,401772720,2025-09-07,2025-09-07,17:00Z,2025-09-07T17:00:00Z,2025-09-07T17:00:00Z,NE,LV,New England Patriots,Las Vegas Raiders,13,20,True,STATUS_FINAL,Final,False,Gillette Stadium,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_MIA_IND,401772719,2025-09-07,2025-09-07,17:00Z,2025-09-07T17:00:00Z,2025-09-07T17:00:00Z,IND,MIA,Indianapolis Colts,Miami Dolphins,33,8,True,STATUS_FINAL,Final,False,Lucas Oil Stadium,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_NYG_WAS,401772827,2025-09-07,2025-09-07,17:00Z,2025-09-07T17:00:00Z,2025-09-07T17:00:00Z,WAS,NYG,Washington Commanders,New York Giants,21,6,True,STATUS_FINAL,Final,False,Northwest Stadium,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_PIT_NYJ,401772721,2025-09-07,2025-09-07,17:00Z,2025-09-07T17:00:00Z,2025-09-07T17:00:00Z,NYJ,PIT,New York Jets,Pittsburgh Steelers,32,34,True,STATUS_FINAL,Final,False,MetLife Stadium,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_TB_ATL,401772830,2025-09-07,2025-09-07,17:00Z,2025-09-07T17:00:00Z,2025-09-07T17:00:00Z,ATL,TB,Atlanta Falcons,Tampa Bay Buccaneers,20,23,True,STATUS_FINAL,Final,False,Mercedes-Benz Stadium,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.867770+00:00
2025,2,REG,1,1,2025_01_SF_SEA,401772831,2025-09-07,2025-09-07,20:05Z,2025-09-07T20:05:00Z,2025-09-07T20:05:00Z,SEA,SF,Seattle Seahawks,San Francisco 49ers,13,17,True,STATUS_FINAL,Final,False,Lumen Field,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.868771+00:00
2025,2,REG,1,1,2025_01_TEN_DEN,401772832,2025-09-07,2025-09-07,20:05Z,2025-09-07T20:05:00Z,2025-09-07T20:05:00Z,DEN,TEN,Denver Broncos,Tennessee Titans,20,12,True,STATUS_FINAL,Final,False,Empower Field at Mile High,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.868771+00:00
2025,2,REG,1,1,2025_01_DET_GB,401772722,2025-09-07,2025-09-07,20:25Z,2025-09-07T20:25:00Z,2025-09-07T20:25:00Z,GB,DET,Green Bay Packers,Detroit Lions,27,13,True,STATUS_FINAL,Final,False,Lambeau Field,,,,,,,espn_site_scoreboard,2026-04-28T22:54:27.868771+00:00
