fold,home_mae_train,home_mae_val,home_rmse_train,home_rmse_val,away_mae_train,away_mae_val,away_rmse_train,away_rmse_val,win_brier_train,win_brier_val,win_logloss_train,win_logloss_val,win_acc_train,win_acc_val,class_balance_train,class_balance_val
1,3.1540639798803105,8.175399861379086,4.039162973358862,10.317858594098167,3.1727894646569266,7.6991399341922415,3.9261430768637875,9.965416181936732,0.20710635286324935,0.22483543857130195,0.6012474580088659,0.6391103740879052,0.6779661016949152,0.6197718631178707,0.5743879472693032,0.5551330798479087
2,4.606620215072639,7.818820109443536,5.827280927851657,9.69928815566573,4.448538923953266,7.91889663568639,5.61431652971414,9.945272458599332,0.21165403678795497,0.21593079171777227,0.610068946095269,0.623946662854547,0.6527909176915799,0.6746031746031746,0.5648060548722801,0.5
3,5.3197520083141185,7.2652617388869,6.723757483230421,9.466482094603345,5.253670144785088,7.2487521019478285,6.580377224111516,9.07587041833704,0.210466108514278,0.22074136326110014,0.6086294900877607,0.6339785014391556,0.66111467008328,0.6345776031434185,0.5438821268417681,0.5697445972495089
4,5.652426427794188,7.472769987600655,7.1390475108855025,9.669176864694197,5.629622626541469,7.2487388806482915,7.028316666218823,9.185609614465486,0.21126613600251928,0.212458057932879,0.6104484271954742,0.6137588319591903,0.6618357487922706,0.678714859437751,0.5502415458937198,0.5502008032128514
