season,week,game_id,home_game_date,home_team,away_team,home_points_for,away_points_for,point_diff,winner,home_prior_pf_avg_3,home_prior_pa_avg_3,home_prior_win_pct_3,home_prior_away_moneyline_3,home_prior_home_moneyline_3,home_prior_spread_line_3,home_prior_total_line_3,home_prior_away_rest_3,home_prior_home_rest_3,home_prior_temp_3,home_prior_wind_3,home_prior_off_epa_per_play_3,home_prior_off_success_rate_3,home_prior_off_explosive_rate_3,home_prior_off_turnover_rate_3,home_prior_def_success_rate_allowed_3,home_prior_def_explosive_rate_allowed_3,home_prior_def_epa_per_play_3,home_prior_def_takeaway_rate_3,home_prior_pf_avg_5,home_prior_pa_avg_5,home_prior_win_pct_5,home_prior_away_moneyline_5,home_prior_home_moneyline_5,home_prior_spread_line_5,home_prior_total_line_5,home_prior_away_rest_5,home_prior_home_rest_5,home_prior_temp_5,home_prior_wind_5,home_prior_off_epa_per_play_5,home_prior_off_success_rate_5,home_prior_off_explosive_rate_5,home_prior_off_turnover_rate_5,home_prior_def_success_rate_allowed_5,home_prior_def_explosive_rate_allowed_5,home_prior_def_epa_per_play_5,home_prior_def_takeaway_rate_5,away_prior_pf_avg_3,away_prior_pa_avg_3,away_prior_win_pct_3,away_prior_away_moneyline_3,away_prior_home_moneyline_3,away_prior_spread_line_3,away_prior_total_line_3,away_prior_away_rest_3,away_prior_home_rest_3,away_prior_temp_3,away_prior_wind_3,away_prior_off_epa_per_play_3,away_prior_off_success_rate_3,away_prior_off_explosive_rate_3,away_prior_off_turnover_rate_3,away_prior_def_success_rate_allowed_3,away_prior_def_explosive_rate_allowed_3,away_prior_def_epa_per_play_3,away_prior_def_takeaway_rate_3,away_prior_pf_avg_5,away_prior_pa_avg_5,away_prior_win_pct_5,away_prior_away_moneyline_5,away_prior_home_moneyline_5,away_prior_spread_line_5,away_prior_total_line_5,away_prior_away_rest_5,away_prior_home_rest_5,away_prior_temp_5,away_prior_wind_5,away_prior_off_epa_per_play_5,away_prior_off_success_rate_5,away_prior_off_explosive_rate_5,away_prior_off_turnover_rate_5,away_prior_def_success_rate_allowed_5,away_prior_def_explosive_rate_allowed_5,away_prior_def_epa_per_play_5,away_prior_def_takeaway_rate_5,home_minus_away_pf_avg_3,home_minus_away_pa_avg_3,home_minus_away_win_pct_3,home_minus_away_away_moneyline_3,home_minus_away_home_moneyline_3,home_minus_away_spread_line_3,home_minus_away_total_line_3,home_minus_away_away_rest_3,home_minus_away_home_rest_3,home_minus_away_temp_3,home_minus_away_wind_3,home_minus_away_off_epa_per_play_3,home_minus_away_off_success_rate_3,home_minus_away_off_explosive_rate_3,home_minus_away_off_turnover_rate_3,home_minus_away_def_success_rate_allowed_3,home_minus_away_def_explosive_rate_allowed_3,home_minus_away_def_epa_per_play_3,home_minus_away_def_takeaway_rate_3,home_minus_away_pf_avg_5,home_minus_away_pa_avg_5,home_minus_away_win_pct_5,home_minus_away_away_moneyline_5,home_minus_away_home_moneyline_5,home_minus_away_spread_line_5,home_minus_away_total_line_5,home_minus_away_away_rest_5,home_minus_away_home_rest_5,home_minus_away_temp_5,home_minus_away_wind_5,home_minus_away_off_epa_per_play_5,home_minus_away_off_success_rate_5,home_minus_away_off_explosive_rate_5,home_minus_away_off_turnover_rate_5,home_minus_away_def_success_rate_allowed_5,home_minus_away_def_explosive_rate_allowed_5,home_minus_away_def_epa_per_play_5,home_minus_away_def_takeaway_rate_5,game_type,home_moneyline_prob,away_moneyline_prob,moneyline_prob_diff,home_moneyline_prob_norm,away_moneyline_prob_norm,moneyline_prob_norm_diff,spread_line,total_line,home_rest,away_rest,rest_diff,roof,surface,temp,wind,home_player_team_qb_pass_yards,home_player_team_qb_pass_tds,home_player_team_qb_completions,home_player_team_qb_attempts,home_player_team_qb_completion_pct,home_player_team_rb_rush_yards,home_player_team_rb_rush_tds,home_player_team_rb_receptions,home_player_team_rb_receiving_yards,home_player_team_wr_targets,home_player_team_wr_receptions,home_player_team_wr_receiving_yards,home_player_team_wr_receiving_tds,away_player_team_qb_pass_yards,away_player_team_qb_pass_tds,away_player_team_qb_completions,away_player_team_qb_attempts,away_player_team_qb_completion_pct,away_player_team_rb_rush_yards,away_player_team_rb_rush_tds,away_player_team_rb_receptions,away_player_team_rb_receiving_yards,away_player_team_wr_targets,away_player_team_wr_receptions,away_player_team_wr_receiving_yards,away_player_team_wr_receiving_tds,game_date_parsed,game_day_of_week,is_weekend,is_regular_season,is_playoff,time_key,home_elo_pre,away_elo_pre,elo_diff_pre,home_qb_completion_pct,away_qb_completion_pct,home_win,home_team_ARI,home_team_ATL,home_team_BAL,home_team_BUF,home_team_CAR,home_team_CHI,home_team_CIN,home_team_CLE,home_team_DAL,home_team_DEN,home_team_DET,home_team_GB,home_team_HOU,home_team_IND,home_team_JAX,home_team_KC,home_team_LAC,home_team_LAR,home_team_LV,home_team_MIA,home_team_MIN,home_team_NE,home_team_NO,home_team_NYG,home_team_NYJ,home_team_PHI,home_team_PIT,home_team_SEA,home_team_SF,home_team_TB,home_team_TEN,home_team_WAS,away_team_ARI,away_team_ATL,away_team_BAL,away_team_BUF,away_team_CAR,away_team_CHI,away_team_CIN,away_team_CLE,away_team_DAL,away_team_DEN,away_team_DET,away_team_GB,away_team_HOU,away_team_IND,away_team_JAX,away_team_KC,away_team_LAC,away_team_LAR,away_team_LV,away_team_MIA,away_team_MIN,away_team_NE,away_team_NO,away_team_NYG,away_team_NYJ,away_team_PHI,away_team_PIT,away_team_SEA,away_team_SF,away_team_TB,away_team_TEN,away_team_WAS
2026,1,2026_01_ARI_LAC,2026-09-13,LAC,ARI,,,,,7.333333333333333,18.33333333333333,0.0,320.6666666666667,-638.6666666666666,6.5,41.16666666666666,7.0,7.666666666666667,50.5,9.0,0.0233865970667214,0.4464285714285714,0.0595238095238095,0.0225183823529411,0.5273735273735274,0.0793485793485793,-0.1229346651849691,0.0259875259875259,14.4,17.0,0.4,254.8,-459.2,5.3,43.1,6.8,7.4,50.5,9.0,0.0233865970667214,0.4464285714285715,0.0595238095238095,0.0225183823529411,0.5273735273735274,0.0793485793485793,-0.1229346651849691,0.0259875259875259,17.666666666666668,33.333333333333336,0.0,309.0,-523.6666666666666,6.333333333333333,50.16666666666666,8.0,6.666666666666667,65.0,9.0,0.1173949707569916,0.5111111111111111,0.0777777777777777,0.0135135135135135,0.5657894736842105,0.0789473684210526,-0.1643739870092442,0.0131578947368421,18.0,37.0,0.0,176.4,-363.2,4.0,48.5,7.6,6.8,65.0,9.0,0.0162748594916824,0.4499518999518999,0.0412578162578162,0.0282508472955502,0.493474540008558,0.0710312366281557,-0.0664560829208974,0.0165810868635002,-10.333333333333336,-15.000000000000004,0.0,11.666666666666686,-115.0,0.1666666666666669,-9.0,-1.0,1.0,-14.5,0.0,,,,,,,,,-3.6,-20.0,0.4,78.4,-96.0,1.2999999999999998,-5.399999999999999,-0.7999999999999998,0.6000000000000005,-14.5,0.0,,,,,,,,,REG,0.8666666666666667,0.175438596491228,0.6912280701754386,0.8316498316498315,0.1683501683501683,0.6632996632996632,11.5,45.5,7.0,7.0,0.0,dome,matrixturf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1544.5953503912492,1319.761952516942,224.83339787430717,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_ATL_PIT,2026-09-13,PIT,ATL,,,,,12.666666666666666,22.33333333333333,0.3333333333333333,-195.0,161.66666666666666,-4.0,38.5,7.666666666666667,7.333333333333333,34.0,8.666666666666666,0.1136779590808773,0.4266666666666667,0.0666666666666666,0.0,0.4329896907216495,0.0103092783505154,0.0803353393494785,0.0,19.0,21.2,0.6,-22.0,-23.0,-0.3,42.1,7.4,7.4,29.75,8.25,0.1136779590808773,0.4266666666666667,0.0666666666666666,0.0,0.4329896907216495,0.0103092783505154,0.0803353393494785,0.0,24.0,20.0,1.0,-119.33333333333331,73.0,-1.8333333333333333,46.833333333333336,9.333333333333334,7.0,49.5,6.5,-0.0860455756603633,0.4366071428571427,0.0544642857142857,0.0369875222816399,0.53054424287301,0.0407256571640133,-0.1171920257616024,0.0067567567567567,22.0,25.0,0.8,-97.6,44.2,-1.3,45.7,7.8,6.4,56.0,5.0,0.2066862874714405,0.5357142857142857,0.0714285714285714,0.0151515151515151,0.5405405405405406,0.054054054054054,-0.1680928117305812,0.0135135135135135,-11.333333333333334,2.333333333333332,-0.6666666666666667,-75.66666666666667,88.66666666666666,-2.166666666666667,-8.333333333333336,-1.666666666666667,0.333333333333333,,,,,,,,,,,-3.0,-3.8000000000000007,-0.2,75.6,-67.2,1.0,-3.6000000000000014,-0.3999999999999994,1.0,-26.25,3.25,,,,,,,,,REG,0.6363636363636364,0.4081632653061224,0.2282003710575139,0.6092362344582594,0.3907637655417407,0.2184724689165186,3.0,42.5,7.0,7.0,0.0,outdoors,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1556.618019066946,1445.0858892675242,111.53212979942168,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_BAL_IND,2026-09-13,IND,BAL,,,,,24.666666666666668,36.333333333333336,0.0,-16.666666666666668,-55.0,0.5,44.16666666666666,7.333333333333333,7.333333333333333,56.0,8.0,0.2033921846217974,0.5362280701754386,0.0594736842105263,0.0083333333333333,0.5055555555555555,0.0510840108401084,0.0528343501358464,0.017750677506775,21.8,32.6,0.0,93.0,-210.2,2.5,43.7,7.2,7.2,56.0,8.0,0.2033921846217974,0.5362280701754387,0.0594736842105263,0.0083333333333333,0.5055555555555555,0.0510840108401084,0.0528343501358464,0.017750677506775,29.666666666666668,26.0,0.3333333333333333,16.333333333333332,-47.333333333333336,0.5,42.833333333333336,7.0,7.0,33.666666666666664,5.0,-0.2630402502313445,0.4044943820224719,0.0112359550561797,0.0384615384615384,0.4615384615384615,0.0615384615384615,0.0837621647564422,0.0153846153846153,27.0,21.0,0.4,21.4,-55.2,0.9,44.7,7.0,7.6,31.0,5.6,-0.2567607980517761,0.419989126495107,0.0217470097861544,0.0549450549450549,0.5366515837104072,0.0601809954751131,-0.1143894987025474,0.0076923076923076,-5.0,10.333333333333336,-0.3333333333333333,-33.0,-7.666666666666664,0.0,1.3333333333333286,0.333333333333333,0.333333333333333,,,,,,,,,,,-5.199999999999999,11.6,-0.4,71.6,-155.0,1.6,-1.0,0.2000000000000001,-0.3999999999999994,25.0,2.4000000000000004,,,,,,,,,REG,0.3846153846153846,0.6575342465753424,-0.2729188619599578,0.3690596562184025,0.6309403437815976,-0.2618806875631951,-3.5,49.5,7.0,7.0,0.0,,fieldturf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1437.679005345844,1578.0455867869105,-140.3665814410665,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_BUF_HOU,2026-09-13,HOU,BUF,,,,,28.0,21.33333333333333,0.6666666666666666,131.66666666666666,-195.0,3.1666666666666665,38.833333333333336,7.0,7.666666666666667,33.5,5.5,0.3125411621615371,0.611764705882353,0.0588235294117647,0.0,0.4354838709677419,0.032258064516129,0.2504813458722078,0.0483870967741935,25.4,20.2,0.8,238.6,-460.6,5.1,39.3,6.8,7.2,33.5,5.5,0.1910082235242045,0.5131994261119082,0.0659971305595409,0.0,0.3896169354838709,0.0395665322580645,0.324162811948315,0.0320060483870967,30.666666666666668,21.666666666666668,0.6666666666666666,250.66666666666663,-347.3333333333333,5.166666666666667,45.5,6.666666666666667,9.0,41.66666666666666,8.0,0.070936926377752,0.4867782819590048,0.0751056172742919,0.0290300546448087,0.5034902597402596,0.0447240259740259,-0.0205351970675527,0.0127435064935064,25.4,19.6,0.6,63.8,-157.4,1.6,44.7,7.0,8.2,37.6,9.2,0.070936926377752,0.4867782819590049,0.0751056172742919,0.0290300546448087,0.5034902597402597,0.0447240259740259,-0.0205351970675527,0.0127435064935064,-2.666666666666668,-0.3333333333333357,0.0,-119.0,152.33333333333331,-2.0000000000000004,-6.666666666666664,0.333333333333333,-1.333333333333333,-8.166666666666664,-2.5,,,,,,,,,0.0,0.5999999999999979,0.2,174.8,-303.20000000000005,3.5,-5.400000000000006,-0.2000000000000001,-0.9999999999999992,-4.100000000000001,-3.6999999999999993,,,,,,,,,REG,0.5121951219512195,0.5348837209302325,-0.0226885989790129,0.4891657638136511,0.5108342361863488,-0.0216684723726977,-1.5,45.5,7.0,7.0,0.0,,astroturf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1605.140838642905,1666.4029573285284,-61.26211868562336,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_CHI_CAR,2026-09-13,CAR,CHI,,,,,22.5,25.0,0.0,-210.0,127.5,-3.5,44.0,6.0,6.5,70.5,13.5,0.1332610883806081,0.5101307189542484,0.0624183006535947,0.0217484008528784,0.4482496194824961,0.0413812785388127,-0.1488776359101143,0.0,19.5,24.25,0.25,-220.0,157.5,-4.125,43.75,8.0,6.75,61.25,9.25,0.1332610883806081,0.5101307189542482,0.0624183006535947,0.0217484008528784,0.4482496194824962,0.0413812785388127,-0.1488776359101143,0.0,21.33333333333333,22.0,0.3333333333333333,-63.333333333333336,34.666666666666664,-0.8333333333333334,48.833333333333336,8.0,7.0,28.0,5.333333333333333,-0.071738076800538,0.4482758620689655,0.0229885057471264,0.0142857142857142,0.5454545454545454,0.0454545454545454,0.1720169777619444,0.0606060606060606,24.8,24.8,0.4,-24.4,-43.8,0.5,48.7,7.6,6.6,34.8,5.4,0.0643561533373377,0.463863958431743,0.0457408282160289,0.0071428571428571,0.5141065830721003,0.0514629049111807,0.0882937781291842,0.0532915360501567,1.166666666666668,3.0,-0.3333333333333333,-146.66666666666666,92.83333333333334,-2.6666666666666665,-4.833333333333336,-2.0,-0.5,42.5,8.166666666666668,,,,,,,,,-5.300000000000001,-0.5500000000000007,-0.15,-195.6,201.3,-4.625,-4.950000000000003,0.4000000000000003,0.1500000000000003,26.450000000000003,3.85,,,,,,,,,REG,0.4672897196261682,0.574468085106383,-0.1071783654802148,0.448558885283451,0.551441114716549,-0.102882229433098,-2.5,44.5,7.0,7.0,0.0,outdoors,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1377.4347187735248,1514.6679180567303,-137.23319928320575,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_CLE_JAX,2026-09-13,JAX,CLE,,,,,29.33333333333333,17.0,0.6666666666666666,134.0,-229.0,3.5,48.833333333333336,7.0,6.666666666666667,58.5,7.0,0.0153356282708045,0.4611408211318481,0.0447053031568306,0.0102564102564102,0.5028886944987594,0.0769198883971962,-0.0180985890872434,0.0209426777812081,34.0,18.2,0.8,244.4,-382.4,5.5,46.7,7.0,6.8,62.25,7.0,0.0373601868951885,0.4669921305741766,0.0502040221509763,0.0153846153846153,0.5201558265582655,0.0774051490514905,-0.0834070728410226,0.0060975609756097,17.666666666666668,15.666666666666666,0.6666666666666666,-143.33333333333334,46.66666666666666,-1.8333333333333333,41.5,7.0,7.0,35.666666666666664,10.0,-0.0803353393494785,0.4329896907216495,0.0103092783505154,0.0,0.4266666666666667,0.0666666666666666,-0.1136779590808773,0.0,17.0,21.8,0.4,7.0,-88.0,1.3,39.3,7.0,7.0,29.6,8.4,-0.0803353393494785,0.4329896907216495,0.0103092783505154,0.0,0.4266666666666667,0.0666666666666666,-0.1136779590808773,0.0,11.666666666666664,1.333333333333334,0.0,277.33333333333337,-275.6666666666667,5.333333333333333,7.333333333333336,0.0,-0.333333333333333,22.833333333333336,-3.0,,,,,,,,,17.0,-3.6000000000000014,0.4,237.4,-294.4,4.2,7.400000000000006,0.0,-0.2000000000000001,32.65,-1.4000000000000004,,,,,,,,,REG,0.7487437185929648,0.2941176470588235,0.4546260715341413,0.7179705215419501,0.2820294784580499,0.4359410430839002,7.0,40.5,7.0,7.0,0.0,outdoors,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1525.772439316325,1386.3667230875474,139.4057162287777,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_DAL_NYG,2026-09-13,NYG,DAL,,,,,27.0,14.333333333333334,0.6666666666666666,-158.66666666666666,133.33333333333334,-2.833333333333333,44.16666666666666,8.0,7.0,39.5,13.5,0.1704750841397807,0.4712643678160919,0.0689655172413793,0.0,0.5070422535211268,0.0704225352112676,0.0323451455476589,0.028169014084507,23.4,21.0,0.4,-11.4,-24.6,0.2,45.1,7.8,8.4,34.0,11.25,0.1704750841397807,0.4712643678160919,0.0689655172413793,0.0,0.5070422535211268,0.0704225352112676,0.0323451455476589,0.028169014084507,21.33333333333333,30.33333333333333,0.3333333333333333,-188.0,132.66666666666666,-3.333333333333333,50.5,7.0,6.333333333333333,41.5,7.0,0.2172555839010818,0.4638322753090544,0.0510357500835282,0.0,0.5323529411764707,0.054141656662665,-0.0890794643672273,0.010984393757503,24.0,33.8,0.2,-37.8,-11.8,-0.2,50.9,7.0,7.2,41.5,7.0,0.2172555839010818,0.4638322753090545,0.0510357500835282,0.0,0.5323529411764705,0.054141656662665,-0.0890794643672273,0.010984393757503,5.666666666666668,-15.999999999999998,0.3333333333333333,29.333333333333343,0.6666666666666856,0.5,-6.333333333333336,1.0,0.666666666666667,-2.0,6.5,,,,,,,,,-0.6000000000000014,-12.799999999999995,0.2,26.4,-12.8,0.4,-5.799999999999997,0.7999999999999998,1.2000000000000002,-7.5,4.25,,,,,,,,,REG,0.4761904761904761,0.5652173913043478,-0.0890269151138716,0.4572564612326044,0.5427435387673957,-0.0854870775347912,-2.5,48.5,7.0,7.0,0.0,outdoors,fieldturf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1334.4357605851203,1479.772732868715,-145.33697228359438,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_DEN_KC,2026-09-14,KC,DEN,,,,,11.333333333333334,20.0,0.0,-503.3333333333333,346.3333333333333,-6.833333333333333,37.16666666666666,7.0,6.0,51.0,8.0,0.177100982012437,0.5848780487804878,0.0560162601626016,0.0073529411764705,0.563430613460393,0.0632320825888425,-0.1144140200283527,0.0136986301369863,11.4,19.2,0.0,-224.0,112.6,-2.1,38.9,6.8,7.0,39.0,8.0,0.2266131006290179,0.56,0.0266666666666666,0.0,0.5652173913043478,0.0579710144927536,-0.0669397687631564,0.0,19.666666666666668,14.333333333333334,0.6666666666666666,265.0,-516.6666666666666,4.166666666666667,42.16666666666666,7.0,10.333333333333334,42.66666666666666,7.666666666666667,-0.1081380890186355,0.3421052631578947,0.0131578947368421,0.0161290322580645,0.3815789473684211,0.0,0.1443510336263754,0.0,19.8,18.0,0.6,-32.0,-205.0,0.5,42.1,6.4,8.4,47.5,6.5,0.0414472072862379,0.4421052631578948,0.0397349757372153,0.009441384736428,0.3921439628482971,0.025735294117647,0.1013533222154219,0.0,-8.333333333333334,5.666666666666666,-0.6666666666666666,-768.3333333333333,863.0,-11.0,-5.0,0.0,-4.333333333333334,8.333333333333336,0.333333333333333,,,,,,,,,-8.4,1.1999999999999993,-0.6,-192.0,317.6,-2.6,-3.200000000000003,0.3999999999999994,-1.4000000000000004,-8.5,1.5,,,,,,,,,REG,0.6078431372549019,0.4347826086956521,0.1730605285592497,0.5829926410466066,0.4170073589533933,0.1659852820932133,2.5,42.5,7.0,7.0,0.0,outdoors,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-14,0,False,True,False,202601,1568.5096461993949,1638.3025337449608,-69.79288754556592,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_GB_MIN,2026-09-13,MIN,GB,,,,,18.33333333333333,8.666666666666666,1.0,-12.666666666666666,-80.33333333333333,1.0,41.5,6.333333333333333,7.0,46.0,20.0,0.0469389826747511,0.4802939676357398,0.0602936736002497,0.0184619302266361,0.4413848631239935,0.0300483091787439,0.1274910526954789,0.0222222222222222,24.0,10.4,1.0,12.4,-122.2,1.4,43.1,6.6,7.6,46.0,20.0,0.0435270003079789,0.4683544303797468,0.0759493670886076,0.0294117647058823,0.4111111111111111,0.0333333333333333,0.0080417907340721,0.0,18.0,29.33333333333333,0.0,151.66666666666666,-226.0,4.166666666666667,40.5,6.666666666666667,7.666666666666667,34.0,8.0,0.2301455305975216,0.5552380952380953,0.08,0.0135746606334841,0.5265432098765431,0.0222222222222222,-0.1624631427304749,0.0,19.2,28.8,0.0,46.2,-138.8,2.5,41.9,6.6,7.2,42.5,6.25,0.2162270759575981,0.5866666666666667,0.0933333333333333,0.0153846153846153,0.5308641975308642,0.0,-0.096469006857219,0.0,0.3333333333333321,-20.666666666666664,1.0,-164.33333333333331,145.66666666666669,-3.166666666666667,1.0,-0.3333333333333339,-0.666666666666667,12.0,12.0,,,,,,,,,4.800000000000001,-18.4,1.0,-33.800000000000004,16.60000000000001,-1.1,1.2000000000000028,0.0,0.3999999999999994,3.5,13.75,,,,,,,,,REG,0.4878048780487805,0.5555555555555556,-0.0677506775067751,0.4675324675324675,0.5324675324675325,-0.064935064935065,-1.5,44.5,7.0,7.0,0.0,dome,sportturf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1586.6484823812723,1539.032218535977,47.61626384529541,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026,1,2026_01_MIA_LV,2026-09-13,LV,MIA,,,,,15.0,23.0,0.3333333333333333,171.0,-426.3333333333333,2.6666666666666665,38.833333333333336,8.0,7.0,30.0,20.0,-0.145585810389524,0.467948717948718,0.0250156347717323,0.0229026036644165,0.4572807017543859,0.0528947368421052,-0.0133930616448703,0.0197368421052631,12.4,24.8,0.2,138.6,-383.8,2.4,38.9,7.6,6.8,30.0,20.0,-0.0681079497503636,0.4358974358974359,0.0256410256410256,0.0163934426229508,0.4078947368421052,0.0657894736842105,0.21562425894461,0.0394736842105263,17.0,33.333333333333336,0.3333333333333333,65.0,-208.33333333333331,1.6666666666666667,45.833333333333336,7.0,6.666666666666667,63.333333333333336,5.333333333333333,0.0909778147317826,0.4658119658119658,0.0528846153846153,0.025,0.4777777777777778,0.0746031746031746,-0.1211297975034635,0.017063492063492,20.0,27.6,0.4,38.4,-135.2,1.1,44.3,7.2,7.0,49.6,5.8,0.1062264599912857,0.4646111018677709,0.0400057539792579,0.0165322580645161,0.5159993326659993,0.0757984174650841,-0.1341624533881846,0.0177910052910052,-2.0,-10.333333333333336,0.0,106.0,-218.0,0.9999999999999998,-7.0,1.0,0.333333333333333,,,,,,,,,,,-7.6,-2.8000000000000007,-0.2,100.2,-248.6,1.2999999999999998,-5.399999999999999,0.3999999999999994,-0.2000000000000001,-19.6,14.2,,,,,,,,,REG,0.6363636363636364,0.4081632653061224,0.2282003710575139,0.6092362344582594,0.3907637655417407,0.2184724689165186,3.0,41.5,7.0,7.0,0.0,dome,grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-13,6,True,True,False,202601,1310.3927345248208,1461.1041439662474,-150.71140944142667,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
