<<<<<<< HEAD:models/models copy/legacy_data/new_dataset.csv
season,week,game_id,home_game_date,home_team,away_team,home_points_for,away_points_for,point_diff,winner,home_prior_pf_avg_3,home_prior_pa_avg_3,home_prior_win_pct_3,home_prior_pf_avg_5,home_prior_pa_avg_5,home_prior_win_pct_5,away_prior_pf_avg_3,away_prior_pa_avg_3,away_prior_win_pct_3,away_prior_pf_avg_5,away_prior_pa_avg_5,away_prior_win_pct_5,home_minus_away_pf_avg_3,home_minus_away_pa_avg_3,home_minus_away_win_pct_3,home_minus_away_pf_avg_5,home_minus_away_pa_avg_5,home_minus_away_win_pct_5,home_moneyline_prob,away_moneyline_prob,moneyline_prob_diff,spread_line,total_line,home_rest,away_rest,rest_diff,home_win
2015,1,2015_01_PIT_NE,2015-09-10,NE,PIT,28.0,21.0,7.0,NE,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.7777777777777778,0.24691358024691357,0.5308641975308642,7.5,51.0,7,7,0,True
2015,1,2015_01_BAL_DEN,2015-09-13,DEN,BAL,19.0,13.0,6.0,DEN,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.6875,0.3367003367003367,0.3507996632996633,4.5,46.5,7,7,0,True
2015,1,2015_01_TEN_TB,2015-09-13,TB,TEN,14.0,42.0,-28.0,TEN,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.6078431372549019,0.4166666666666667,0.19117647058823523,3.0,40.5,7,7,0,False
2015,1,2015_01_SEA_STL,2015-09-13,LAR,SEA,34.0,31.0,3.0,LAR,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.3861003861003861,0.6389891696750902,-0.2528887835747041,-3.5,41.5,7,7,0,True
2015,1,2015_01_NO_ARI,2015-09-13,ARI,NO,31.0,19.0,12.0,ARI,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.5652173913043478,0.45871559633027525,0.10650179497407253,2.0,48.5,7,7,0,True
2015,1,2015_01_MIA_WAS,2015-09-13,WAS,MIA,10.0,17.0,-7.0,MIA,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.35587188612099646,0.6688741721854304,-0.313002286064434,-4.0,45.5,7,7,0,False
2015,1,2015_01_KC_HOU,2015-09-13,HOU,KC,20.0,27.0,-7.0,KC,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.5121951219512195,0.5121951219512195,0.0,-1.0,41.0,7,7,0,False
2015,1,2015_01_NYG_DAL,2015-09-13,DAL,NYG,27.0,26.0,1.0,DAL,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.7512437810945274,0.273224043715847,0.47801973737868036,7.0,52.0,7,7,0,True
2015,1,2015_01_GB_CHI,2015-09-13,CHI,GB,23.0,31.0,-8.0,GB,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.3105590062111801,0.7142857142857143,-0.4037267080745342,-5.5,48.5,7,7,0,False
2015,1,2015_01_DET_SD,2015-09-13,LAC,DET,33.0,28.0,5.0,LAC,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.6428571428571429,0.3816793893129771,0.2611777535441658,3.5,45.5,7,7,0,True
2015,1,2015_01_CLE_NYJ,2015-09-13,NYJ,CLE,31.0,10.0,21.0,NYJ,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.6491228070175439,0.37593984962406013,0.27318295739348375,3.5,39.0,7,7,0,True
2015,1,2015_01_CIN_OAK,2015-09-13,LV,CIN,13.0,33.0,-20.0,CIN,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.423728813559322,0.6,-0.17627118644067796,-3.0,43.0,7,7,0,False
2015,1,2015_01_CAR_JAX,2015-09-13,JAX,CAR,9.0,20.0,-11.0,CAR,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.4329004329004329,0.5918367346938775,-0.15893630179344465,-3.0,41.0,7,7,0,False
2015,1,2015_01_IND_BUF,2015-09-13,BUF,IND,27.0,14.0,13.0,BUF,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.5024875621890548,0.5215311004784688,-0.019043538289414075,-1.0,44.5,7,7,0,True
2015,1,2015_01_MIN_SF,2015-09-14,SF,MIN,20.0,3.0,17.0,SF,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.4166666666666667,0.6078431372549019,-0.19117647058823523,-2.5,42.5,7,7,0,True
2015,1,2015_01_PHI_ATL,2015-09-14,ATL,PHI,26.0,24.0,2.0,ATL,22.333333333333332,22.666666666666668,0.3333333333333333,22.4,22.8,0.4,22.666666666666668,22.666666666666668,0.6666666666666666,22.8,22.6,0.5,-0.33333333333333215,0.33333333333333215,0.0,0.0,0.0,0.0,0.3861003861003861,0.6389891696750902,-0.2528887835747041,-3.5,55.0,7,7,0,True
2015,2,2015_02_DEN_KC,2015-09-17,KC,DEN,24.0,31.0,-7.0,DEN,27.0,20.0,1.0,27.0,20.0,1.0,19.0,13.0,1.0,19.0,13.0,1.0,8.0,7.0,0.0,8.0,7.0,0.0,0.6183206106870229,0.4065040650406504,0.21181654564637253,3.0,42.0,4,4,0,False
2015,2,2015_02_SD_CIN,2015-09-20,CIN,LAC,24.0,19.0,5.0,CIN,33.0,13.0,1.0,33.0,13.0,1.0,33.0,28.0,1.0,33.0,28.0,1.0,0.0,-15.0,0.0,0.0,-15.0,0.0,0.6336996336996337,0.390625,0.24307463369963367,3.5,47.5,7,7,0,True
2015,2,2015_02_TEN_CLE,2015-09-20,CLE,TEN,28.0,14.0,14.0,CLE,10.0,31.0,0.0,10.0,31.0,0.0,42.0,14.0,1.0,42.0,14.0,1.0,-32.0,17.0,-1.0,-32.0,17.0,-1.0,0.5305164319248826,0.49504950495049505,0.03546692697438758,1.0,41.0,7,7,0,True
2015,2,2015_02_TB_NO,2015-09-20,NO,TB,19.0,26.0,-7.0,TB,19.0,31.0,0.0,19.0,31.0,0.0,14.0,42.0,0.0,14.0,42.0,0.0,5.0,-11.0,0.0,5.0,-11.0,0.0,0.803921568627451,0.22026431718061673,0.5836572514468343,9.5,47.0,7,7,0,False
2015,2,2015_02_STL_WAS,2015-09-20,WAS,LAR,24.0,10.0,14.0,WAS,10.0,17.0,0.0,10.0,17.0,0.0,34.0,31.0,1.0,34.0,31.0,1.0,-24.0,-14.0,-1.0,-24.0,-14.0,-1.0,0.3861003861003861,0.6389891696750902,-0.2528887835747041,-3.0,41.0,7,7,0,True
2015,2,2015_02_SF_PIT,2015-09-20,PIT,SF,43.0,18.0,25.0,PIT,21.0,28.0,0.0,21.0,28.0,0.0,20.0,3.0,1.0,20.0,3.0,1.0,1.0,25.0,-1.0,1.0,25.0,-1.0,0.7118155619596542,0.3125,0.39931556195965423,6.0,46.0,10,6,4,True
2015,2,2015_02_SEA_GB,2015-09-20,GB,SEA,27.0,17.0,10.0,GB,31.0,23.0,1.0,31.0,23.0,1.0,31.0,34.0,0.0,31.0,34.0,0.0,0.0,-11.0,1.0,0.0,-11.0,1.0,0.6491228070175439,0.37593984962406013,0.27318295739348375,3.5,49.0,7,7,0,True
2015,2,2015_02_NE_BUF,2015-09-20,BUF,NE,32.0,40.0,-8.0,NE,27.0,14.0,1.0,27.0,14.0,1.0,28.0,21.0,1.0,28.0,21.0,1.0,-1.0,-7.0,0.0,-1.0,-7.0,0.0,0.5535714285714286,0.4716981132075472,0.08187331536388143,2.0,45.0,7,10,-3,False
2015,2,2015_02_MIA_JAX,2015-09-20,JAX,MIA,23.0,20.0,3.0,JAX,9.0,20.0,0.0,9.0,20.0,0.0,17.0,10.0,1.0,17.0,10.0,1.0,-8.0,10.0,-1.0,-8.0,10.0,-1.0,0.32786885245901637,0.696969696969697,-0.36910084451068065,-5.0,42.5,7,7,0,True
2015,2,2015_02_HOU_CAR,2015-09-20,CAR,HOU,24.0,17.0,7.0,CAR,20.0,9.0,1.0,20.0,9.0,1.0,20.0,27.0,0.0,20.0,27.0,0.0,0.0,-18.0,1.0,0.0,-18.0,1.0,0.588477366255144,0.4366812227074236,0.15179614354772042,3.0,41.0,7,7,0,True
2015,2,2015_02_DET_MIN,2015-09-20,MIN,DET,26.0,16.0,10.0,MIN,3.0,20.0,0.0,3.0,20.0,0.0,28.0,33.0,0.0,28.0,33.0,0.0,-25.0,-13.0,0.0,-25.0,-13.0,0.0,0.588477366255144,0.4366812227074236,0.15179614354772042,2.5,44.0,6,7,-1,True
2015,2,2015_02_DAL_PHI,2015-09-20,PHI,DAL,10.0,20.0,-10.0,DAL,24.0,26.0,0.0,24.0,26.0,0.0,27.0,26.0,1.0,27.0,26.0,1.0,-3.0,0.0,-1.0,-3.0,0.0,-1.0,0.7402597402597403,0.2840909090909091,0.45616883116883117,7.0,53.0,6,7,-1,False
2015,2,2015_02_BAL_OAK,2015-09-20,LV,BAL,37.0,33.0,4.0,LV,13.0,33.0,0.0,13.0,33.0,0.0,13.0,19.0,0.0,13.0,19.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.3067484662576687,0.7175141242937854,-0.41076565803611664,-6.0,42.0,7,7,0,True
2015,2,2015_02_ATL_NYG,2015-09-20,NYG,ATL,20.0,24.0,-4.0,ATL,26.0,27.0,0.0,26.0,27.0,0.0,26.0,24.0,1.0,26.0,24.0,1.0,0.0,3.0,-1.0,0.0,3.0,-1.0,0.5515695067264574,0.47393364928909953,0.0776358574373579,2.0,49.5,7,6,1,False
2015,2,2015_02_ARI_CHI,2015-09-20,CHI,ARI,23.0,48.0,-25.0,ARI,23.0,31.0,0.0,23.0,31.0,0.0,31.0,19.0,1.0,31.0,19.0,1.0,-8.0,12.0,-1.0,-8.0,12.0,-1.0,0.4807692307692308,0.54337899543379,-0.0626097646645592,-2.0,45.5,7,7,0,False
2015,2,2015_02_NYJ_IND,2015-09-21,IND,NYJ,7.0,20.0,-13.0,NYJ,14.0,27.0,0.0,14.0,27.0,0.0,31.0,10.0,1.0,31.0,10.0,1.0,-17.0,17.0,-1.0,-17.0,17.0,-1.0,0.7058823529411765,0.3184713375796178,0.3874110153615587,6.0,45.5,8,8,0,False
2015,3,2015_03_WAS_NYG,2015-09-24,NYG,WAS,32.0,21.0,11.0,NYG,23.0,25.5,0.0,23.0,25.5,0.0,17.0,13.5,0.5,17.0,13.5,0.5,6.0,12.0,-0.5,6.0,12.0,-0.5,0.6254681647940075,0.398406374501992,0.22706179029201545,3.0,45.0,4,4,0,True
2015,3,2015_03_BUF_MIA,2015-09-27,MIA,BUF,14.0,41.0,-27.0,BUF,18.5,16.5,0.5,18.5,16.5,0.5,29.5,27.0,0.5,29.5,27.0,0.5,-11.0,-10.5,0.0,-11.0,-10.5,0.0,0.5169082125603864,0.5073891625615764,0.009519049998810036,1.0,43.5,7,7,0,False
2015,3,2015_03_CHI_SEA,2015-09-27,SEA,CHI,26.0,0.0,26.0,SEA,24.0,30.5,0.0,24.0,30.5,0.0,23.0,39.5,0.0,23.0,39.5,0.0,1.0,-9.0,0.0,1.0,-9.0,0.0,0.9285714285714286,0.09578544061302682,0.8327859879584018,16.5,43.5,7,7,0,True
2015,3,2015_03_CIN_BAL,2015-09-27,BAL,CIN,24.0,28.0,-4.0,CIN,23.0,28.0,0.0,23.0,28.0,0.0,28.5,16.0,1.0,28.5,16.0,1.0,-5.5,12.0,-1.0,-5.5,12.0,-1.0,0.5798319327731093,0.4444444444444444,0.13538748832866487,2.5,45.5,7,7,0,False
2015,3,2015_03_TB_HOU,2015-09-27,HOU,TB,19.0,9.0,10.0,HOU,18.5,25.5,0.0,18.5,25.5,0.0,20.0,30.5,0.5,20.0,30.5,0.5,-1.5,-5.0,-0.5,-1.5,-5.0,-0.5,0.71671388101983,0.3076923076923077,0.4090215733275223,6.0,41.0,7,7,0,True
2015,3,2015_03_IND_TEN,2015-09-27,TEN,IND,33.0,35.0,-2.0,IND,28.0,21.0,0.5,28.0,21.0,0.5,10.5,23.5,0.0,10.5,23.5,0.0,17.5,-2.5,0.5,17.5,-2.5,0.5,0.390625,0.6336996336996337,-0.24307463369963367,-3.0,46.5,7,6,1,False
2015,3,2015_03_JAX_NE,2015-09-27,NE,JAX,51.0,17.0,34.0,NE,34.0,26.5,1.0,34.0,26.5,1.0,16.0,20.0,0.5,16.0,20.0,0.5,18.0,6.5,0.5,18.0,6.5,0.5,0.9285714285714286,0.09578544061302682,0.8327859879584018,14.5,48.5,7,7,0,True
2015,3,2015_03_NO_CAR,2015-09-27,CAR,NO,27.0,22.0,5.0,CAR,22.0,13.0,1.0,22.0,13.0,1.0,19.0,28.5,0.0,19.0,28.5,0.0,3.0,-15.5,1.0,3.0,-15.5,1.0,0.8,0.2242152466367713,0.5757847533632288,10.0,43.0,7,7,0,True
2015,3,2015_03_OAK_CLE,2015-09-27,CLE,LV,20.0,27.0,-7.0,LV,19.0,22.5,0.5,19.0,22.5,0.5,25.0,33.0,0.5,25.0,33.0,0.5,-6.0,-10.5,0.0,-6.0,-10.5,0.0,0.6389891696750902,0.3861003861003861,0.2528887835747041,3.5,43.5,7,7,0,False
2015,3,2015_03_PHI_NYJ,2015-09-27,NYJ,PHI,17.0,24.0,-7.0,PHI,25.5,8.5,1.0,25.5,8.5,1.0,17.0,23.0,0.0,17.0,23.0,0.0,8.5,-14.5,1.0,8.5,-14.5,1.0,0.6183206106870229,0.4065040650406504,0.21181654564637253,3.0,47.0,6,7,-1,False
