gid,home_team,away_team,home_minus_away_off_epa_per_play_3,away_rest,home_prior_def_epa_per_play_5,home_moneyline_prob,home_prior_off_success_rate_3,away_prior_off_explosive_rate_5,home_minus_away_off_explosive_rate_5,away_prior_def_takeaway_rate_3,home_prior_def_explosive_rate_allowed_3,home_prior_off_epa_per_play_5,away_prior_def_takeaway_rate_5,home_minus_away_off_success_rate_5,away_prior_win_pct_3,home_prior_off_total_plays_5,home_prior_def_explosive_rate_allowed_5,home_minus_away_off_turnover_rate_3,home_minus_away_off_explosive_rate_3,home_minus_away_off_total_plays_3,home_minus_away_off_third_down_pct_5,home_minus_away_pf_avg_3,home_minus_away_def_epa_per_play_5,total_line,home_prior_off_turnover_rate_5,away_prior_off_success_rate_5,moneyline_prob_diff,spread_line,away_prior_pa_avg_3,away_prior_off_epa_per_play_5,home_prior_pf_avg_5,away_prior_def_epa_per_play_3,away_prior_off_third_down_pct_5,home_minus_away_def_epa_per_play_3,home_prior_def_takeaway_rate_5,home_minus_away_off_epa_per_play_5,home_prior_pa_avg_5,away_prior_def_success_rate_allowed_3,away_prior_pf_avg_3,away_prior_def_success_rate_allowed_5,home_prior_off_pass_over_expected_3,home_prior_def_success_rate_allowed_3,home_minus_away_def_explosive_rate_allowed_3,home_prior_off_total_plays_3,home_minus_away_pa_avg_3,rest_diff,home_minus_away_def_takeaway_rate_3,home_minus_away_off_third_down_pct_3,away_prior_off_turnover_rate_5,home_prior_win_pct_3,home_points_for,away_prior_win_pct_5,winner,home_minus_away_off_pass_over_expected_3,home_minus_away_off_success_rate_3,away_prior_off_turnover_rate_3,home_minus_away_def_takeaway_rate_5,away_points_for,home_prior_off_pass_over_expected_5,away_prior_off_total_plays_3,home_prior_off_epa_per_play_3,away_prior_pf_avg_5,home_prior_off_success_rate_5,away_prior_off_explosive_rate_3,away_prior_off_epa_per_play_3,away_prior_off_pass_over_expected_3,away_prior_off_total_plays_5,away_prior_off_third_down_pct_3,home_prior_off_turnover_rate_3,home_prior_off_third_down_pct_5,home_minus_away_def_success_rate_allowed_3,away_prior_def_epa_per_play_5,away_prior_def_explosive_rate_allowed_3,home_prior_off_explosive_rate_5,away_moneyline_prob,home_prior_pa_avg_3,week,home_prior_off_explosive_rate_3,home_minus_away_pf_avg_5,home_minus_away_win_pct_3,home_rest,season,home_prior_def_takeaway_rate_3,home_prior_off_third_down_pct_3,home_minus_away_off_turnover_rate_5,home_prior_win_pct_5,home_minus_away_win_pct_5,home_minus_away_def_success_rate_allowed_5,home_minus_away_off_total_plays_5,home_minus_away_pa_avg_5,home_prior_def_success_rate_allowed_5,home_prior_pf_avg_3,away_prior_off_success_rate_3,point_diff,home_minus_away_def_explosive_rate_allowed_5,home_prior_def_epa_per_play_3,away_prior_pa_avg_5,away_prior_def_explosive_rate_allowed_5,home_minus_away_off_pass_over_expected_5,away_prior_off_pass_over_expected_5,home_win,actual_winner,home_vs_away_prior_games,home_vs_away_prior_wins,home_vs_away_prior_losses,home_vs_away_prior_dom,home_vs_away_prior_win_pct,away_vs_home_prior_games,away_vs_home_prior_wins,away_vs_home_prior_losses,away_vs_home_prior_dom,away_vs_home_prior_win_pct
0,DEN,CAR,0.0016029056286664747,7,0.005516485835674048,0.423728813559322,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,40.5,0.020302574618364093,0.43223192819702494,-0.17627118644067796,-3.0,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,21.0,0.5,DEN,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,20.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.6,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,1.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,True,DEN,0,0,0,0,,0,0,0,0,
1,BAL,BUF,0.0016029056286664747,7,0.005516485835674048,0.6254681647940075,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,44.5,0.020302574618364093,0.43223192819702494,0.22706179029201545,3.0,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,13.0,0.5,BAL,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,7.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.398406374501992,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,6.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,True,BAL,0,0,0,0,,0,0,0,0,
2,ATL,TB,0.0016029056286664747,7,0.005516485835674048,0.5708154506437768,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,46.5,0.020302574618364093,0.43223192819702494,0.11626999609832228,2.5,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,24.0,0.5,TB,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,31.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.45454545454545453,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,-7.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,False,TB,0,0,0,0,,0,0,0,0,
3,KC,LAC,0.0016029056286664747,7,0.005516485835674048,0.7333333333333333,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,45.5,0.020302574618364093,0.43223192819702494,0.4426356589147286,6.5,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,33.0,0.5,KC,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,27.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.29069767441860467,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,6.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,True,KC,0,0,0,0,,0,0,0,0,
4,NO,LV,0.0016029056286664747,7,0.005516485835674048,0.5951417004048583,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,50.0,0.020302574618364093,0.43223192819702494,0.16595715104863507,2.5,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,34.0,0.5,LV,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,35.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.4291845493562232,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,-1.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,False,LV,0,0,0,0,,0,0,0,0,
5,ARI,NE,0.0016029056286664747,7,0.005516485835674048,0.7916666666666666,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,44.5,0.020302574618364093,0.43223192819702494,0.5591085271317829,9.0,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,21.0,0.5,NE,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,23.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.23255813953488372,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,-2.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,False,NE,0,0,0,0,,0,0,0,0,
6,TEN,MIN,0.0016029056286664747,7,0.005516485835674048,0.46511627906976744,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,40.0,0.020302574618364093,0.43223192819702494,-0.0943550865689991,-2.5,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,16.0,0.5,MIN,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,25.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.5594713656387665,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,-9.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,False,MIN,0,0,0,0,,0,0,0,0,
7,SEA,MIA,0.0016029056286664747,7,0.005516485835674048,0.8333333333333334,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,43.5,0.020302574618364093,0.43223192819702494,0.6421287444231996,10.5,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,12.0,0.5,SEA,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,10.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.19120458891013384,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,2.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,True,SEA,0,0,0,0,,0,0,0,0,
8,DAL,NYG,0.0016029056286664747,7,0.005516485835674048,0.5305164319248826,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,47.5,0.020302574618364093,0.43223192819702494,0.03546692697438758,1.0,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,19.0,0.5,NYG,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,20.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.49504950495049505,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,-1.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,False,NYG,0,0,0,0,,0,0,0,0,
9,JAX,GB,0.0016029056286664747,7,0.005516485835674048,0.3831417624521073,0.43194383296877126,0.051672579802275055,0.00046618556066421735,0.019636633671721394,0.052133277166663314,-0.009896433423060264,0.019577076028688932,0.0016836757397276358,0.6666666666666666,63.4,0.05222563554823274,0.00011264545986768276,-6.329235370471087e-05,0.0,-0.0018270618270618266,-0.33333333333333215,-0.0018744698721347743,47.0,0.020302574618364093,0.43223192819702494,-0.2584352984797923,-3.5,22.666666666666668,-0.01202897678369452,22.6,0.003047337971121376,0.39076923076923087,-0.0003690299337739747,0.019818975085154428,0.0015356798367708521,22.8,0.43442299676406493,22.666666666666668,0.4330661063203517,-0.017462416954005973,0.43352889460653854,0.0004424635242178433,63.333333333333336,0.33333333333333215,0,8.329170703797817e-05,-0.003321678321678234,0.02012138188608777,0.3333333333333333,23.0,0.5,GB,-0.001379126301975001,-3.6956686547268136e-05,0.01980715363068305,3.0220764293514835e-05,27.0,-0.018879945248850172,63.666666666666664,-0.010412548600510208,22.8,0.43278497448081127,0.051427655862401944,-0.010232074577813308,-0.017631926723934165,63.4,0.39311166774402073,0.01993199192926498,0.39,0.0001373986843674624,0.008677619754024321,0.05160780718501008,0.05229809406279995,0.6415770609318996,22.666666666666668,1,0.051629649680632175,0.0,0.0,7,2016,0.01978961974356226,0.39044289044289043,3.1969943328997996e-05,0.5,0.0,0.0008730354406198404,0.0,-0.1999999999999993,0.4334600409910007,22.333333333333332,0.4331033525242886,-4.0,0.0005113369704930933,0.0041805185814748,22.6,0.05162519229746595,-0.000413639388134833,-0.01842058443536676,False,GB,0,0,0,0,,0,0,0,0,
