fold,home_mae_train,home_mae_val,home_rmse_train,home_rmse_val,away_mae_train,away_mae_val,away_rmse_train,away_rmse_val,win_brier_train,win_brier_val,win_logloss_train,win_logloss_val,win_acc_train,win_acc_val,class_balance_train,class_balance_val
1,0.8869683873536365,4.493764071245921,1.1020182790486712,5.7940587359379485,0.8820972826045415,4.899191491363932,1.1054273543387878,6.1269750153575915,0.07943086555309126,0.12880875449935297,0.27226467191691633,0.4026317949642667,0.9067357512953368,0.8102564102564103,0.5155440414507773,0.5
2,1.6955936216457945,4.468340317311869,2.1328119301494275,5.8742368788844255,1.8691983912085368,4.280704176135118,2.301418876618365,5.492804997247743,0.09223997647522882,0.1326387287575391,0.29867976241531474,0.41055041595599806,0.8672680412371134,0.808695652173913,0.5077319587628866,0.5565217391304348
3,2.1874966743771225,4.435915257780831,2.733442103042787,5.62695497345054,2.2391471564769323,4.341300799509042,2.772705280315494,5.3991464911188425,0.09935309171506944,0.12948058509699942,0.31787858517154177,0.41314600891246245,0.8608385370205174,0.8214285714285714,0.5227475468331847,0.5561224489795918
4,2.545208064756483,4.272810396489862,3.1806371851173094,5.500181705801047,2.594552203036827,3.967755775281509,3.231915013695156,5.175161297481645,0.1043884438800882,0.13745975942626296,0.333909063094123,0.42300486621186956,0.8519497686715135,0.7974025974025974,0.5313945803040317,0.5558441558441558
