fold,home_mae_train,home_mae_val,home_rmse_train,home_rmse_val,away_mae_train,away_mae_val,away_rmse_train,away_rmse_val,win_brier_train,win_brier_val,win_logloss_train,win_logloss_val,win_acc_train,win_acc_val,class_balance_train,class_balance_val
1,1.4231839988423858,4.807420023380625,1.7733621981899352,6.5673260128828534,1.4233890871851775,4.571850406185929,1.7982090991760602,5.841771328114481,0.10021506508886982,0.1244362329159825,0.3249522804735024,0.38900807205528076,0.8576779026217228,0.8314606741573034,0.5749063670411985,0.5561797752808989
2,2.3187179708726986,4.258058220081347,2.9271542179853896,5.627681885999149,2.2538026777594005,4.688558947467289,2.8651047661169766,5.953433856872194,0.0979685708461837,0.12533222749940742,0.31640113130215913,0.3893426392334851,0.8754681647940075,0.810126582278481,0.5655430711610487,0.5081374321880651
3,2.70865155006246,4.253810997638507,3.468034222896077,5.557893530516603,2.784350721947335,4.2522000799438935,3.5095589785438763,5.413374610520924,0.10221510225970198,0.1354933735287633,0.324849724208231,0.42296608351849746,0.8525601480567551,0.8028419182948491,0.5459592843923504,0.5612788632326821
4,2.9856881941001916,4.45679840182025,3.81718807105635,5.66357092545002,2.9973720333742615,4.1791388041417985,3.785913934457488,5.491111359479982,0.10789359246770876,0.1251931053393897,0.3417246813373219,0.3886210935671498,0.8502747252747253,0.8175182481751825,0.549908424908425,0.5383211678832117
