fold,home_mae_train,home_mae_val,home_rmse_train,home_rmse_val,away_mae_train,away_mae_val,away_rmse_train,away_rmse_val,win_brier_train,win_brier_val,win_logloss_train,win_logloss_val,win_acc_train,win_acc_val,class_balance_train,class_balance_val
1,1.5397466590862157,4.672004640538103,1.920054100776387,6.405119844669979,1.5804907802353423,4.590474730116632,1.976670004873645,5.82773986304654,0.10531054579554365,0.1194942926436516,0.33782090591719083,0.37590940874765155,0.851782363977486,0.8421052631578947,0.575984990619137,0.5526315789473685
2,2.4123522510596502,4.267993521395043,3.0950598893418526,5.620816535666463,2.3573216713848026,4.618205974847872,3.0194803409611017,5.943825762840536,0.10109535076234094,0.12000955795046901,0.32430937911831603,0.37860535921464006,0.8610328638497653,0.8143939393939394,0.564319248826291,0.509469696969697
3,2.68725618940416,4.36395936674838,3.477891463206246,5.685349425433795,2.7693365586803993,4.1977493119507026,3.503151276392536,5.3814243707327485,0.10322379001194229,0.1326096539086232,0.3284501978222435,0.41023150742261877,0.8556183301946014,0.8181818181818182,0.5461393596986818,0.5553359683794467
4,2.9845248398655118,4.478799447074115,3.8135530677155995,5.674439949536724,2.983853623800809,4.029137169391421,3.772931183023225,5.131881906075891,0.10805329143758861,0.12180837127716879,0.34135250441039433,0.38540771648600597,0.8442115292996665,0.826171875,0.5483563601715102,0.5546875
