season,week,team,opponent,home,game_id,off_plays,off_yards,off_pass_att,off_rush_att,off_tds,off_int,off_fumbles_lost,off_penalties,off_qb_spike,off_qb_kneel,off_epa_sum,off_epa_mean,def_plays_allowed,def_yards_allowed,def_pass_att_allowed,def_rush_att_allowed,def_tds_allowed,def_int_made,def_fumbles_gained,def_penalties_committed,def_epa_allowed_sum,def_epa_allowed_mean,home_team,away_team,points_for,points_allowed,point_diff,win,off_ypp,off_pr,off_rr,off_td_rate,off_pen_ypp,def_ypp_allowed,def_pass_share,def_rush_share,def_td_rate_allowed,def_pen_ypp,turnovers,takeaways,to_margin,epa_margin,epa_play_margin,off_ypp_r3,off_pr_r3,off_td_rate_r3,off_epa_mean_r3,def_ypp_allowed_r3,def_td_rate_allowed_r3,def_epa_allowed_mean_r3,to_margin_r3,epa_play_margin_r3,league_off_pr,off_pr_over_lg,home_pass_interact,opp_def_ypp_allowed_r3,opp_def_td_rate_allowed_r3,opp_def_epa_allowed_mean_r3,opp_off_pr_r3,m_diff_ypp,m_diff_td,m_diff_epa,script_pass_edge
2014,1,ATL,NO,1,2014_01_NO_ATL,93,568.0,44.0,25.0,4.0,0.0,1.0,6.0,1.0,0.0,19.00198,0.20654325,92,472.0,42.0,28.0,4.0,1.0,1.0,7.0,19.995602,0.2173435,ATL,NO,37.0,34.0,3.0,1,6.10752688172043,0.4731182795698925,0.26881720430107525,0.043010752688172046,0.06451612903225806,5.130434782608695,0.45652173913043476,0.30434782608695654,0.043478260869565216,0.07608695652173914,1.0,2.0,1.0,-0.9936218,-0.010800242,,,,,,,,,,0.4196871524486379,0.053431127121254585,0.4731182795698925,,,,,,,,
2014,2,ATL,CIN,0,2014_02_ATL_CIN,83,309.0,46.0,19.0,1.0,3.0,0.0,8.0,0.0,0.0,-9.247097,-0.111410804,92,472.0,24.0,45.0,3.0,0.0,0.0,6.0,4.0926914,0.044974633,CIN,ATL,10.0,24.0,-14.0,0,3.7228915662650603,0.5542168674698795,0.2289156626506024,0.012048192771084338,0.0963855421686747,5.130434782608695,0.2608695652173913,0.4891304347826087,0.03260869565217391,0.06521739130434782,3.0,0.0,-3.0,-13.339788,-0.15638544,6.10752688172043,0.4731182795698925,0.043010752688172046,0.20654325187206268,5.130434782608695,0.043478260869565216,0.2173434942960739,1.0,-0.01080024242401123,0.44804087400456616,0.10617599346531337,0.0,4.0673076923076925,0.019230769230769232,-0.09183554351329803,0.47560975609756095,2.0402191894127375,0.023779983457402815,0.2983787953853607,-0.002491476527668457
2014,3,ATL,TB,1,2014_03_TB_ATL,87,488.0,29.0,36.0,7.0,1.0,3.0,7.0,0.0,0.0,5.998854,0.068952344,81,217.0,39.0,18.0,3.0,1.0,3.0,9.0,-37.589256,-0.4698657,ATL,TB,56.0,14.0,42.0,1,5.609195402298851,0.3333333333333333,0.41379310344827586,0.08045977011494253,0.08045977011494253,2.6790123456790123,0.48148148148148145,0.2222222222222222,0.037037037037037035,0.1111111111111111,4.0,4.0,0.0,43.58811,0.53881806,4.915209223992745,0.513667573519886,0.02752947272962819,0.04756622388958931,5.130434782608695,0.03804347826086957,0.13115906342864037,-1.0,-0.08359283953905106,0.432058250478699,-0.09872491714536569,0.3333333333333333,,,,,,,,
2014,4,ATL,MIN,0,2014_04_ATL_MIN,87,411.0,42.0,22.0,4.0,2.0,0.0,5.0,1.0,0.0,10.607776,0.12192845,95,560.0,31.0,44.0,4.0,0.0,0.0,6.0,23.116259,0.24591765,MIN,ATL,28.0,41.0,-13.0,0,4.724137931034483,0.4827586206896552,0.25287356321839083,0.04597701149425287,0.05747126436781609,5.894736842105263,0.3263157894736842,0.4631578947368421,0.042105263157894736,0.06315789473684211,2.0,0.0,-2.0,-12.508483,-0.123989195,5.146537950094781,0.45355616012436845,0.04517290519139964,0.054694930712381996,4.313293970298801,0.03770799785292539,-0.06918252756198247,-0.6666666666666666,0.12387746075789134,0.44051237449728503,0.04224624619237016,0.0,3.9724911859241714,0.02377075617541401,-0.07247569287816684,0.4202607280913089,1.1740467641706096,0.02140214901598563,0.12717062359054884,0.03329543203305957
2014,5,ATL,NYG,0,2014_05_ATL_NYG,91,397.0,46.0,21.0,2.0,1.0,1.0,6.0,1.0,0.0,-1.6961734,-0.018846372,86,317.0,31.0,34.0,3.0,0.0,1.0,5.0,8.285037,0.09633764,NYG,ATL,20.0,30.0,-10.0,0,4.362637362637362,0.5054945054945055,0.23076923076923078,0.02197802197802198,0.06593406593406594,3.686046511627907,0.36046511627906974,0.3953488372093023,0.03488372093023256,0.05813953488372093,2.0,1.0,-1.0,-9.981211,-0.11518401,4.685408299866132,0.4567696071642893,0.04616165812675991,0.026489997903505962,4.568061323464323,0.03725033194903523,-0.05965780963500341,-1.6666666666666667,0.08614781002203624,0.4457258254376846,0.0597686800568209,0.0,4.24202365015618,0.021307452030343597,-0.11270596583684285,0.4003824894952365,0.4433846497099516,0.024854206096416313,0.13919596374034882,0.0563871176690528
2014,6,ATL,CHI,1,2014_06_CHI_ATL,73,287.0,41.0,13.0,1.0,1.0,0.0,7.0,0.0,1.0,-7.815674,-0.10706402,92,480.0,41.0,29.0,3.0,0.0,0.0,6.0,10.256021,0.112703525,ATL,CHI,13.0,27.0,-14.0,0,3.9315068493150687,0.5616438356164384,0.1780821917808219,0.0136986301369863,0.0958904109589041,5.217391304347826,0.44565217391304346,0.31521739130434784,0.03260869565217391,0.06521739130434782,1.0,0.0,-1.0,-18.071693,-0.21976754,4.898656898656899,0.44052881983916464,0.04947160119573912,0.057344808553655945,4.086598566470728,0.03800867370838811,-0.042536807556947075,-1.0,0.0998816192150116,0.44767677341030626,0.11396706220613212,0.5616438356164384,4.651815296596669,0.04479135472772944,0.061442231138547264,0.45059436857552565,0.24684160206022998,0.004680246468009686,-0.004097422584891319,-0.010065548736361007
2014,7,ATL,BAL,0,2014_07_ATL_BAL,82,254.0,49.0,16.0,1.0,0.0,2.0,6.0,0.0,0.0,-16.139997,-0.19925922,84,371.0,26.0,36.0,3.0,2.0,0.0,10.0,5.718019,0.068071656,BAL,ATL,7.0,29.0,-22.0,0,3.097560975609756,0.5975609756097561,0.1951219512195122,0.012195121951219513,0.07317073170731707,4.416666666666667,0.30952380952380953,0.42857142857142855,0.03571428571428571,0.11904761904761904,2.0,2.0,0.0,-21.858017,-0.26733088,4.339427380995637,0.5166323206001997,0.02721788786975372,-0.0013273141036430995,4.932724886026999,0.03653255991343373,0.15165293713410696,-1.3333333333333333,-0.15298024813334146,0.44561940970147673,0.15194156590827934,0.0,,,,,,,,
2014,8,ATL,DET,1,2014_08_DET_ATL,75,291.0,29.0,26.0,3.0,1.0,0.0,7.0,0.0,0.0,5.766913,0.077931255,89,385.0,48.0,23.0,2.0,1.0,0.0,6.0,6.974938,0.07837009,ATL,DET,21.0,22.0,-1.0,0,3.88,0.38666666666666666,0.3466666666666667,0.04,0.09333333333333334,4.325842696629214,0.5393258426966292,0.25842696629213485,0.02247191011235955,0.06741573033707865,1.0,1.0,0.0,-1.208025,-0.00043883175,3.797235062520729,0.5548997722402333,0.01595725802207593,-0.10838987243672212,4.440034827547467,0.034402234098897394,0.09237093975146611,-0.6666666666666666,-0.20076081156730652,0.42805906844583463,-0.041392401779167975,0.38666666666666666,3.566225631840123,0.014414835592956211,-0.198602132499218,0.455107787471726,0.2310094306806061,0.0015424224291197188,0.09021226006249587,0.09979198476850737
2014,10,ATL,TB,0,2014_10_ATL_TB,82,324.0,33.0,28.0,2.0,0.0,0.0,8.0,1.0,1.0,13.284774,0.16400956,88,373.0,47.0,23.0,2.0,2.0,1.0,7.0,-1.2605617,-0.0143245645,TB,ATL,27.0,17.0,10.0,1,3.951219512195122,0.4024390243902439,0.34146341463414637,0.024390243902439025,0.0975609756097561,4.238636363636363,0.5340909090909091,0.26136363636363635,0.022727272727272728,0.07954545454545454,0.0,3.0,3.0,14.545336,0.17833412,3.6363559416416087,0.5152904926309537,0.021964584029401938,-0.07613066335519154,4.6533002225479025,0.030264963826273056,0.08638175576925278,-0.3333333333333333,-0.16251241912444434,0.4448652381484273,-0.042426213758183395,0.0,,,,,,,,
2014,11,ATL,CAR,0,2014_11_ATL_CAR,92,346.0,47.0,27.0,1.0,0.0,1.0,4.0,1.0,0.0,-3.3465703,-0.036375765,85,391.0,39.0,25.0,2.0,2.0,0.0,2.0,-7.8959713,-0.09399966,CAR,ATL,19.0,17.0,2.0,1,3.760869565217391,0.5108695652173914,0.29347826086956524,0.010869565217391304,0.043478260869565216,4.6,0.4588235294117647,0.29411764705882354,0.023529411764705882,0.023529411764705882,1.0,2.0,1.0,4.5494013,0.057623897,3.642926829268293,0.46222222222222226,0.025528455284552845,0.01422719657421112,4.327048575644081,0.026971156184639328,0.044039059430360794,1.0,-0.029811866581439972,0.48333941393925944,0.02753015127813191,0.0,4.233697983697984,0.035192335192335195,0.023690609882275265,0.4214412749768721,-0.590771154429691,-0.00966387990778235,-0.009463413308064144,0.04078094724535014
