fold,home_mae_train,home_mae_val,home_rmse_train,home_rmse_val,away_mae_train,away_mae_val,away_rmse_train,away_rmse_val,win_brier_train,win_brier_val,win_logloss_train,win_logloss_val,win_acc_train,win_acc_val,class_balance_train,class_balance_val
1,1.5397466590862157,4.674067366990393,1.920054100776387,6.413042634697109,1.5804907802353423,4.601331030999635,1.976670004873645,5.837882979674454,0.10531054579554365,0.1203423054708486,0.33782090591719083,0.37820388168427616,0.851782363977486,0.8409090909090909,0.575984990619137,0.5511363636363636
2,2.3608224743835087,4.239734595979744,3.0424110029834437,5.6672897637328505,2.346701163691449,4.6439326794532585,2.992969561893808,5.955324668581811,0.1013506990287877,0.11846005412731911,0.3250422387390101,0.37532199012797524,0.8614514608859567,0.8178294573643411,0.5636192271442035,0.5058139534883721
3,2.7038168879620676,4.279719610545329,3.481850185483384,5.5994550858626955,2.775696052114347,4.219443923897923,3.5227143112432904,5.379569578176765,0.10307402696517622,0.13305701546644505,0.3283117822683034,0.4111376133107572,0.8566899175649968,0.8113948919449901,0.544705136334813,0.5638506876227898
4,2.9397924109431584,4.547482546418848,3.767630707641317,5.78932293484309,2.965118842197967,4.041751991642582,3.7528883290189925,5.1308544112789,0.10796998510423893,0.1218395712371448,0.3410227975401309,0.386220149302875,0.8451581975071908,0.8238747553816047,0.5493767976989453,0.5577299412915852
