fold,home_mae_train,home_mae_val,home_rmse_train,home_rmse_val,away_mae_train,away_mae_val,away_rmse_train,away_rmse_val,win_brier_train,win_brier_val,win_logloss_train,win_logloss_val,win_acc_train,win_acc_val,class_balance_train,class_balance_val
1,2.8387816634049488,4.674542631995826,3.638881269357939,6.349578501259205,2.522769813151444,4.512591508923433,3.359387512686181,5.777427594174165,0.07029185085764665,0.15070803248276757,0.23056970948432623,0.5249874805624721,0.9072727272727272,0.8018181818181818,0.5727272727272728,0.56
2,3.4221056769326887,4.377507005247274,4.5538018373156754,5.692973749195556,3.403947083588779,4.611091931078013,4.348725408161007,5.927619538832216,0.0866900859790826,0.13965196147937897,0.281740662995855,0.4504806487161795,0.8790909090909091,0.8029739776951673,0.5663636363636364,0.49814126394052044
3,3.172928040157293,4.267771628532335,4.096031070014893,5.539674585746071,3.6043974949710917,4.238819625312908,4.552573319121923,5.360351055044,0.09614760642724113,0.1389186985460947,0.30502902581698615,0.45153103145128975,0.8632478632478633,0.8007246376811594,0.5439560439560439,0.5688405797101449
4,3.444102357831484,4.340313074007237,4.416279771883664,5.507727127662835,3.6684360806619614,4.147935464204659,4.626011172736968,5.312201525654619,0.10310966851428213,0.12752938356307073,0.32663078535117723,0.40657988329374634,0.8515981735159818,0.8262411347517731,0.5502283105022832,0.5407801418439716
