fold,home_mae_train,home_mae_val,home_rmse_train,home_rmse_val,away_mae_train,away_mae_val,away_rmse_train,away_rmse_val,win_brier_train,win_brier_val,win_logloss_train,win_logloss_val,win_acc_train,win_acc_val,class_balance_train,class_balance_val
1,1.5224743613355451,4.727081777444938,1.9124309269391644,6.5122726376019875,1.6334790775738999,4.66447558150041,2.033294606093268,5.918444443012464,0.10574038087918705,0.11840394335634834,0.338689049508992,0.37253429786748676,0.8481973434535104,0.8333333333333334,0.573055028462998,0.5622489959839357
2,2.3444023840983803,4.2873532656625875,3.0125569908045193,5.634197394844115,2.342472231929035,4.544317911953517,2.973315553236485,5.891759851988928,0.10129017751069024,0.11930507407359642,0.32447299178988875,0.38101811721347734,0.8585365853658536,0.8333333333333334,0.5678048780487804,0.49796747967479676
3,2.665262186717694,4.298590965307025,3.4235892067503433,5.7611208448670626,2.748703845429357,4.232897411908576,3.476947813136049,5.397655088311515,0.10315337980037466,0.1297528787712992,0.328697857232956,0.40299939447254335,0.8556361239288068,0.8153526970954357,0.5451549110085695,0.549792531120332
4,2.909733255872325,4.234178699694731,3.744259622221633,5.432301948016573,2.942051536449989,4.181620595688501,3.713106150344677,5.266309669484413,0.10678975300877902,0.125983494919737,0.33828493632118056,0.39418314135833865,0.8469234617308654,0.8197064989517819,0.5462731365682841,0.5660377358490566
